|CO_MUNICIPIO|NU_ANO_CENSO|CO_ENTIDADE|MEDIA_QTD_ALUNOS_POR_ESCOLA|MEDIA_NU_COMP_PARA_ALUNOS|COMP_POR_ALUNO(%)|NUM_ESCOLAS_INTERNET_MUNIC|MEDIA_SALAS_EXISTENTES|MEDIA_PONTUACAO|IOEB
2115|2923506|2015.0|29217768.0|145.88235294117646|4.176470588235294|1.4476732761622646|6.0|5.235294117647058|312.0|3.9
2116|2923605|2015.0|29239346.0|140.93548387096774|6.354838709677418|10.997077844700012|16.0|4.774193548387096|361.90322580645164|3.8
2117|2923704|2015.0|29045479.0|184.88888888888889|3.095238095238096|1.030082491406639|18.0|4.222222222222221|282.6666666666667|2.8
2118|2923803|2015.0|29132045.0|342.6818181818182|19.863636363636363|16.33951375444357|18.0|13.727272727272727|779.4545454545455|4.0
2119|2923902|2015.0|29311853.0|444.23076923076917|5.615384615384616|0.8960363020523038|6.0|5.0|441.92307692307685|3.3
2120|2924009|2015.0|29034922.0|345.68421052631584|6.4|9.148130733533966|68.0|7.052631578947367|501.1263157894737|3.7
2121|2924058|2015.0|29141044.0|142.0|4.115384615384615|5.518153293530629|10.0|4.384615384615385|417.0384615384616|3.9
2122|2924108|2015.0|29104580.0|76.27272727272727|1.4090909090909092|1.9581065913958318|5.0|2.272727272727273|155.3181818181818|3.8
2123|2924207|2015.0|29113881.0|76.9655172413793|0.8103448275862069|0.1659294477589733|3.0|2.0172413793103448|161.53448275862067|3.1
2124|2924306|2015.0|29218055.0|190.2|0.8|0.09986207751553564|12.0|6.84|418.0|3.9
2125|2924405|2015.0|29027110.0|65.26415094339623|0.06289308176100629|0.009154742614411395|6.0|2.150943396226415|118.125786163522|0.0
2126|2924504|2015.0|29251672.0|166.2608695652174|1.8695652173913044|1.5518503547518263|10.0|4.391304347826087|287.0434782608696|4.1
2127|2924603|2015.0|29054788.0|141.21428571428572|2.5476190476190474|1.3333505876894398|13.0|4.5|277.4761904761905|3.7
