|CO_MUNICIPIO|ANO_CENSO|NUM_COMP_ALUNOS_POR_CIDADE|IOEB
319|1701309|2015.0|19.0|3.9
320|1701903|2015.0|56.0|4.1
321|1702000|2015.0|60.0|4.6
322|1702109|2015.0|1268.0|4.4
323|1702158|2015.0|24.0|4.1
324|1702208|2015.0|464.0|4.3
325|1702307|2015.0|12.0|4.1
326|1702406|2015.0|130.0|4.4
327|1702554|2015.0|162.0|4.4
328|1702703|2015.0|10.0|4.1
329|1702901|2015.0|160.0|4.2
330|1703008|2015.0|48.0|3.8
331|1703057|2015.0|17.0|4.1
332|1703073|2015.0|35.0|3.5
333|1703107|2015.0|44.0|4.2
334|1703206|2015.0|21.0|4.4
335|1703305|2015.0|23.0|4.1
336|1703602|2015.0|14.0|4.4
337|1703701|2015.0|53.0|4.1
338|1703800|2015.0|68.0|4.1
339|1703826|2015.0|12.0|3.9
340|1703842|2015.0|32.0|3.3
341|1703867|2015.0|15.0|4.1
342|1703883|2015.0|19.0|3.2
343|1703891|2015.0|1.0|4.0
344|1703909|2015.0|51.0|3.9
345|1704105|2015.0|3.0|3.9
346|1704600|2015.0|4.0|4.1
347|1705102|2015.0|20.0|4.0
348|1705508|2015.0|304.0|4.5
349|1705557|2015.0|45.0|5.0
350|1705607|2015.0|40.0|4.0
351|1706001|2015.0|38.0|4.1
352|1706100|2015.0|33.0|4.0
353|1706258|2015.0|48.0|4.3
354|1706506|2015.0|1.0|3.8
355|1707009|2015.0|339.0|4.1
356|1707108|2015.0|40.0|4.5
357|1707207|2015.0|39.0|3.8
358|1707306|2015.0|28.0|3.9
359|1707405|2015.0|47.0|4.0
360|1707553|2015.0|58.0|4.0
361|1707652|2015.0|23.0|4.8
362|1707702|2015.0|49.0|3.4
363|1708205|2015.0|244.0|4.1
364|1708254|2015.0|22.0|4.8
365|1708304|2015.0|24.0|3.9
366|1709005|2015.0|51.0|3.4
367|1709302|2015.0|211.0|4.3
368|1709500|2015.0|782.0|4.3
369|1709807|2015.0|20.0|3.8
370|1710508|2015.0|56.0|3.9
371|1710706|2015.0|8.0|3.7
372|1710904|2015.0|20.0|4.4
373|1711100|2015.0|32.0|4.0
374|1711506|2015.0|40.0|4.0
375|1711803|2015.0|7.0|3.9
376|1711902|2015.0|74.0|3.8
377|1711951|2015.0|17.0|4.1
378|1712009|2015.0|16.0|4.1
379|1712157|2015.0|10.0|4.8
380|1712405|2015.0|36.0|3.4
