CO_MUNICIPIO|NU_ANO_CENSO|CO_ENTIDADE|MEDIA_QTD_ALUNOS_POR_ESCOLA|MEDIA_NU_COMP_PARA_ALUNOS|COMP_POR_ALUNO(%)|NUM_ESCOLAS_INTERNET_MUNIC|MEDIA_SALAS_EXISTENTES|MEDIA_PONTUACAO
3164803|2015.0|31104141.0|182.0|8.0|4.232804232804233|2.0|6.0|578.0
3164902|2015.0|31174211.0|131.66666666666666|4.666666666666667|3.7379972565157753|3.0|5.666666666666667|534.0
3165008|2015.0|31134813.0|269.0|11.4|3.8741143491906613|9.0|7.0|567.1
3165107|2015.0|31138053.0|434.75|9.75|2.5887664289883867|4.0|13.0|681.75
3165206|2015.0|31174220.0|171.5|6.6|3.224561346229386|7.0|5.1|420.1
3165305|2015.0|31016209.0|472.75|11.25|2.8280046454535803|4.0|13.75|948.75
3165404|2015.0|31056685.0|209.75|10.25|9.234657850027315|7.0|6.125|486.625
3165503|2015.0|31045632.0|239.0|6.428571428571429|4.216466258509188|6.0|6.428571428571429|508.2857142857143
3165537|2015.0|31009202.0|375.3|9.75|2.936851952539727|19.0|8.65|817.4
3165552|2015.0|31147320.0|208.47058823529412|3.3529411764705883|0.9770513440971317|6.0|5.294117647058823|375.94117647058823
3165560|2015.0|31128686.0|119.8|5.4|7.002785515320335|5.0|8.2|462.8
3165578|2015.0|31054771.0|516.6666666666666|7.333333333333333|1.624513847115418|3.0|11.666666666666666|902.3333333333334
3165602|2015.0|31073806.0|136.0|10.0|7.4597350641357405|4.0|6.6|454.6
3165701|2015.0|31181595.0|511.2|17.8|6.514292510039253|5.0|8.2|725.0
3165800|2015.0|31124982.0|85.33333333333333|11.666666666666666|12.965243568691845|3.0|10.0|492.3333333333333
3165909|2015.0|31024783.0|106.0|3.5454545454545454|0.5094043887147336|3.0|4.181818181818182|251.0909090909091
3166006|2015.0|31194450.0|355.0|12.75|3.769177214658983|4.0|12.0|659.75
3166105|2015.0|31045667.0|130.5|5.666666666666667|7.311181807470248|4.0|5.166666666666667|338.0
3166204|2015.0|31016217.0|107.52941176470588|5.0588235294117645|7.229957084210562|11.0|3.411764705882353|273.7647058823529
3166303|2015.0|31129674.0|125.76923076923077|4.6923076923076925|12.045783607281164|11.0|4.153846153846154|315.9230769230769
3166402|2015.0|31174271.0|103.66666666666667|9.666666666666666|16.666666666666668|2.0|8.333333333333334|483.0
3166501|2015.0|31024813.0|84.46666666666667|0.4|0.7622377622377622|0.0|3.1333333333333333|165.0
3166600|2015.0|31274224.0|109.0|2.0|1.3157894736842106|2.0|6.5|564.5
3166709|2015.0|31147893.0|230.9|5.0|2.169563904379264|4.0|6.5|466.8
3166808|2015.0|31199265.0|197.42857142857142|8.5|3.327783112429905|10.0|7.0|478.64285714285717
3166907|2015.0|31124991.0|354.2|8.6|2.530622236247417|5.0|8.4|719.8
3166956|2015.0|31082121.0|124.4|4.5|3.3461785414078142|3.0|3.0|320.1
3167004|2015.0|31174301.0|198.0|11.0|12.367681588975712|2.0|12.0|709.5
3167103|2015.0|31024864.0|165.0|5.078947368421052|2.6524410954927835|18.0|5.7631578947368425|367.94736842105266
3167202|2015.0|31141593.0|419.8837209302326|13.178294573643411|4.603222962079819|102.0|11.5968992248062|853.8139534883721
3167301|2015.0|31181633.0|215.0|6.333333333333333|11.431101169672397|3.0|6.333333333333333|490.0
3167400|2015.0|31056723.0|365.0|7.666666666666667|1.8780752655332724|3.0|11.333333333333334|796.3333333333334
3167509|2015.0|31070271.0|89.57142857142857|2.2857142857142856|1.0865074774849213|5.0|6.428571428571429|342.0
3167608|2015.0|31075876.0|135.8181818181818|2.6666666666666665|2.289628772538816|8.0|5.181818181818182|258.4848484848485
3167707|2015.0|31045705.0|269.8333333333333|6.833333333333333|1.8539598101266286|5.0|8.0|635.6666666666666
3167806|2015.0|31174319.0|231.4|2.4|0.6870394975238556|5.0|6.2|538.8
3167905|2015.0|31181684.0|200.75|5.75|1.7584097859327217|2.0|5.75|379.0
3168002|2015.0|31082830.0|352.5|7.5|4.205659949128997|19.0|9.083333333333334|680.1666666666666
3168051|2015.0|31020753.0|91.875|3.875|2.0351437130314842|3.0|4.125|262.875
3168101|2015.0|31159654.0|257.75|9.5|11.630986493348521|4.0|10.0|831.0
3168200|2015.0|31035696.0|81.25|2.0|3.125|4.0|7.25|434.25
3168309|2015.0|31010952.0|293.75|7.25|3.2402228537012023|4.0|9.0|691.25
3168408|2015.0|31020907.0|115.35714285714286|10.071428571428571|10.631962822939258|18.0|4.178571428571429|383.2142857142857
3168507|2015.0|31129682.0|209.23076923076923|5.6923076923076925|3.4694260379946957|10.0|7.384615384615385|569.3076923076923
3168606|2015.0|31026540.0|270.96992481203006|7.578947368421052|3.653184218875354|85.0|7.661654135338346|563.984962406015
